city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 5e,44.0,2.0,1.0,5.0,2.0,True,595000.0,Sorbonne - Quartier Latin,small
Paris 11e,66.0,3.0,2.0,3.0,2.0,True,680000.0,Léon-Blum - Folie-Regnault,medium
Paris 17e,8.61,1.0,0.0,6.0,5.0,True,103000.0,Epinettes - Bessières,small
Paris 7e,35.0,2.0,1.0,6.0,6.0,True,500000.0,Champ de Mars,small
Paris 18e,25.0,1.0,0.0,6.0,0.0,True,259500.0,Jules Joffrin,small
Paris 13e,84.82,3.0,2.0,6.0,0.0,True,939000.0,Salpétrière - Austerlitz,medium
Paris 17e,30.0,2.0,1.0,5.0,0.0,True,359000.0,Courcelles - Wagram,small
Paris 20e,62.0,3.0,2.0,8.0,5.0,True,650000.0,Belleville,medium
Paris 20e,232.0,6.0,3.0,2.0,0.0,True,1460000.0,Père Lachaise - Réunion,large
Paris 14e,112.0,5.0,5.0,5.0,3.0,True,1850000.0,Pernety,large
Paris 20e,76.0,4.0,1.0,6.0,0.0,True,720000.0,Belleville,medium
Paris 8e,138.0,4.0,3.0,6.0,1.0,True,1500000.0,Elysée - Madeleine,large
Paris 9e,38.0,1.0,1.0,6.0,0.0,True,450000.0,Lorette - Martyrs,small
Paris 7e,16.0,1.0,1.0,6.0,6.0,True,199000.0,Saint-Thomas d'Aquin - Bac - Musée d'Orsay,small
Paris 20e,73.0,3.0,2.0,8.0,3.0,True,725000.0,Plaine - Lagny,medium
Paris 18e,35.0,2.0,1.0,6.0,6.0,True,360000.0,Grandes Carrières - Clichy,small
Paris 16e,95.0,3.0,1.0,9.0,7.0,False,807248.0,Auteuil-Nord - Jasmin - Mirabeau,medium
Paris 17e,62.0,3.0,2.0,6.0,3.0,True,775000.0,Batignolles - Cardinet,medium
Paris 12e,86.0,4.0,3.0,9.0,7.0,False,865000.0,Vallée de Fecamp,medium
Paris 9e,61.6,3.0,2.0,5.0,4.0,True,699000.0,Lorette - Martyrs,medium
Paris 19e,71.0,3.0,2.0,13.0,1.0,True,875000.0,Bassin de la Villette,medium
Paris 5e,42.0,2.0,1.0,4.0,2.0,True,700000.0,Val de Grâce,small
Paris 11e,77.0,3.0,2.0,5.0,5.0,True,765000.0,Belleville - Saint-Maur,medium
Paris 18e,55.0,3.0,1.0,6.0,1.0,True,526000.0,Barbès - Château Rouge,small
Paris 18e,60.0,2.0,1.0,3.0,0.0,True,555000.0,La Chapelle - Marx Dormoy,small
Paris 19e,54.65,3.0,2.0,7.0,1.0,True,530000.0,Buttes Chaumont - Laumière - Manin,small
Paris 15e,91.0,3.0,2.0,9.0,1.0,True,859000.0,Pasteur - Montparnasse,medium
Paris 18e,66.0,4.0,2.0,6.0,1.0,True,575000.0,Porte de Clignancourt - Porte Montmartre - Moskowa,medium
Paris 19e,63.6,3.0,2.0,6.0,5.0,False,618800.0,La Villette - Porte de Pantin,medium
Paris 11e,29.0,3.0,2.0,6.0,4.0,True,400000.0,République - Saint-Ambroise,small
Paris 7e,205.02,7.0,5.0,7.0,0.0,True,3100000.0,Champ de Mars,large
Paris 20e,76.0,3.0,3.0,9.0,4.0,True,459500.0,Télégraphe - Pelleport - Saint-Fargeau,medium
Paris 17e,170.0,5.0,3.0,7.0,4.0,True,2420000.0,Ternes - Maillot,large
Paris 15e,32.0,2.0,1.0,6.0,0.0,True,365000.0,Cambronne - Garibaldi,small
Paris 7e,49.0,4.0,1.0,6.0,0.0,False,1018500.0,Invalides,small
Paris 18e,101.0,5.0,3.0,10.0,7.0,True,1125000.0,Grandes Carrières - Clichy,large
Paris 3e,21.0,1.0,0.0,5.0,4.0,True,298000.0,Enfants Rouges - Bretagne,small
Paris 15e,60.0,3.0,2.0,7.0,7.0,True,695000.0,Georges Brassens,small
Paris 20e,76.0,4.0,2.0,7.0,2.0,True,499000.0,Saint-Blaise,medium
Paris 19e,68.0,3.0,1.0,4.0,0.0,True,520000.0,Mouzaia,medium
Paris 11e,40.37,2.0,1.0,6.0,1.0,False,416000.0,Nation - Alexandre Dumas,small
Paris 14e,39.0,1.0,0.0,8.0,2.0,True,350000.0,Jean Moulin - Porte d'Orléans,small
Paris 15e,90.77,5.0,3.0,6.0,1.0,True,660000.0,Georges Brassens,medium
Paris 12e,53.0,3.0,1.0,6.0,4.0,False,196300.0,Jardin de Reuilly,small
