city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 14e,95.0,5.0,3.0,7.0,1.0,True,920000.0,Didot - Porte de Vanves,medium
Paris 13e,165.0,5.0,4.0,9.0,6.0,True,1550000.0,Butte-aux-Cailles,large
Paris 7e,57.1,2.0,1.0,6.0,3.0,True,837000.0,Champ de Mars,small
Paris 14e,116.0,5.0,4.0,6.0,6.0,True,1322000.0,Jean Moulin - Porte d'Orléans,large
Paris 14e,65.0,3.0,2.0,6.0,4.0,True,765000.0,Pernety,medium
Paris 20e,9.8,1.0,0.0,6.0,3.0,True,104000.0,Saint-Blaise,small
Paris 10e,95.0,4.0,2.0,6.0,0.0,True,1049000.0,Château d'Eau - Lancry,medium
Paris 15e,33.0,2.0,1.0,5.0,3.0,True,399000.0,Pasteur - Montparnasse,small
Paris 14e,23.0,2.0,1.0,2.0,2.0,True,345000.0,Mouton - Duvernet,small
Paris 5e,44.0,2.0,1.0,5.0,2.0,True,595000.0,Sorbonne - Quartier Latin,small
Paris 14e,86.0,4.0,2.0,7.0,3.0,True,920000.0,Jean Moulin - Porte d'Orléans,medium
Paris 7e,30.0,2.0,1.0,6.0,6.0,True,450000.0,Champ de Mars,small
Paris 14e,58.0,2.0,1.0,11.0,0.0,True,630000.0,Jean Moulin - Porte d'Orléans,small
Paris 14e,86.0,4.0,2.0,6.0,6.0,True,1012300.0,Montparnasse - Raspail,medium
Paris 15e,83.0,3.0,2.0,6.0,1.0,True,700000.0,Alleray - Procession,medium
Paris 7e,350.56,7.0,3.0,6.0,3.0,True,6500000.0,Champ de Mars,large
Paris 14e,73.0,4.0,3.0,9.0,7.0,True,703000.0,Didot - Porte de Vanves,medium
Paris 14e,52.0,2.0,1.0,6.0,4.0,True,580000.0,Montsouris - Dareau,small
Paris 14e,90.0,4.0,3.0,6.0,2.0,True,950000.0,Pernety,medium
Paris 14e,92.0,4.0,3.0,8.0,7.0,True,900000.0,Montsouris - Dareau,medium
Paris 5e,130.0,4.0,2.0,8.0,2.0,True,1585000.0,Jardin des Plantes,large
Paris 18e,85.0,3.0,2.0,6.0,4.0,True,1050000.0,Montmartre - Sacré Coeur - Abbesses,medium
Paris 15e,55.0,3.0,2.0,7.0,0.0,True,575000.0,Pasteur - Montparnasse,small
Paris 7e,30.0,2.0,1.0,7.0,1.0,True,435000.0,Champ de Mars,small
Paris 14e,63.0,3.0,1.0,6.0,1.0,True,690000.0,Jean Moulin - Porte d'Orléans,medium
Paris 15e,28.0,1.0,0.0,6.0,10.0,True,315000.0,Emeriau - Zola,small
Paris 7e,35.0,2.0,1.0,6.0,6.0,True,500000.0,Champ de Mars,small
Paris 14e,67.0,4.0,1.0,7.0,4.0,True,746000.0,Montsouris - Dareau,medium
Paris 19e,75.0,3.0,2.0,11.0,5.0,True,490000.0,Flandre - Aubervilliers,medium
Paris 15e,72.0,4.0,2.0,6.0,1.0,True,749000.0,Saint-Lambert - Convention,medium
Paris 6e,82.0,4.0,2.0,6.0,2.0,True,1300000.0,Saint-Michel - Monnaie,medium
Paris 17e,62.01,3.0,2.0,6.0,3.0,True,499000.0,Epinettes - Bessières,medium
Paris 4e,36.0,2.0,1.0,6.0,4.0,True,470000.0,Arsenal,small
Paris 14e,99.0,4.0,3.0,4.0,3.0,True,1450000.0,Montparnasse - Raspail,medium
Paris 9e,144.0,5.0,3.0,6.0,1.0,True,1650000.0,Trudaine - Rochechouart,large
Paris 18e,42.0,2.0,1.0,6.0,2.0,True,435000.0,Simplon - Poissonniers,small
Paris 15e,35.0,1.0,0.0,7.0,3.0,True,369000.0,Alleray - Procession,small
Paris 17e,46.0,2.0,1.0,1.0,1.0,True,395000.0,Batignolles - Cardinet,small
Paris 20e,62.0,3.0,2.0,12.0,3.0,True,529000.0,Télégraphe - Pelleport - Saint-Fargeau,medium
Paris 19e,62.0,3.0,2.0,12.0,3.0,True,529000.0,Porte des Lilas,medium
Paris 6e,117.0,4.0,3.0,9.0,3.0,True,2000000.0,Notre Dame des Champs,large
Paris 20e,93.77,5.0,3.0,7.0,4.0,True,950000.0,Télégraphe - Pelleport - Saint-Fargeau,medium
Paris 2e,77.0,3.0,2.0,5.0,2.0,True,1100000.0,Sentier,medium
Paris 4e,61.0,3.0,2.0,6.0,1.0,True,791000.0,Arsenal,medium
Paris 10e,80.0,4.0,3.0,5.0,1.0,True,799000.0,Goncourt - Canal Saint-Martin,medium
Paris 3e,39.0,2.0,1.0,6.0,6.0,True,610000.0,Sainte-Avoye,small
Paris 13e,49.0,3.0,2.0,6.0,4.0,False,445000.0,Patay - Masséna,small
Paris 19e,48.0,2.0,1.0,11.0,8.0,True,385000.0,Flandre - Aubervilliers,small
Paris 16e,58.0,3.0,1.0,8.0,1.0,True,599000.0,Porte de Saint-Cloud - Auteuil-Sud,small
Paris 13e,80.0,4.0,2.0,18.0,18.0,True,695000.0,Nationale - Deux Moulins,medium
Paris 11e,116.0,5.0,3.0,6.0,1.0,True,1290000.0,Léon-Blum - Folie-Regnault,large
Paris 12e,72.0,4.0,2.0,3.0,1.0,True,698000.0,Nation - Picpus,medium
Paris 17e,76.24,3.0,2.0,5.0,1.0,True,699000.0,Epinettes - Bessières,medium
Paris 13e,50.0,2.0,1.0,8.0,6.0,True,590000.0,Bièvre Sud - Tolbiac,small
Paris 15e,116.0,5.0,4.0,8.0,6.0,True,1315000.0,Alleray - Procession,large
Paris 14e,37.0,2.0,1.0,3.0,3.0,True,362000.0,Montsouris - Dareau,small
Paris 1er,55.0,3.0,2.0,6.0,2.0,True,690000.0,Châtelet - Les Halles,small
Paris 14e,174.0,7.0,4.0,7.0,1.0,True,1995000.0,Mouton - Duvernet,large
Paris 2e,60.0,2.0,1.0,6.0,0.0,False,688500.0,Gaillon - Vivienne,small
Paris 16e,90.0,3.0,2.0,10.0,6.0,True,1250000.0,Dauphine,medium
Paris 15e,35.0,2.0,2.0,8.0,2.0,False,289008.0,Vaugirard - Parc des Expositions,small
Paris 20e,63.0,3.0,2.0,5.0,1.0,True,630000.0,Belleville,medium
Paris 18e,69.0,3.0,2.0,3.0,3.0,True,805000.0,Grandes Carrières - Clichy,medium
Paris 16e,104.0,3.0,2.0,7.0,3.0,True,1295000.0,Chaillot,large
Paris 12e,64.0,3.0,2.0,2.0,2.0,True,650000.0,Vallée de Fecamp,medium
Paris 16e,44.0,3.0,2.0,6.0,5.0,True,450000.0,Passy - Maison de la Radio - Muette-Sud,small
Paris 18e,23.0,1.0,1.0,4.0,2.0,True,245000.0,Jules Joffrin,small
Paris 10e,111.0,6.0,4.0,5.0,4.0,True,1140000.0,Château d'Eau - Lancry,large
Paris 4e,42.0,2.0,1.0,6.0,6.0,True,995000.0,Les Iles,small
Paris 14e,48.0,2.0,1.0,6.0,1.0,True,450000.0,Didot - Porte de Vanves,small
Paris 15e,110.0,5.0,3.0,5.0,5.0,True,1150000.0,Vaugirard - Parc des Expositions,large
Paris 5e,162.0,6.0,4.0,5.0,5.0,True,1760000.0,Jardin des Plantes,large
Paris 9e,78.0,3.0,2.0,3.0,2.0,True,965000.0,Opéra,medium
Paris 13e,37.0,2.0,1.0,5.0,5.0,True,400000.0,Butte-aux-Cailles,small
Paris 15e,81.0,4.0,2.0,6.0,11.0,True,997000.0,Alleray - Procession,medium
Paris 14e,47.0,3.0,2.0,6.0,2.0,True,510000.0,Pernety,small
Paris 11e,46.0,2.0,1.0,6.0,2.0,True,530000.0,Bastille - Popincourt,small
Paris 11e,34.0,1.0,0.0,8.0,6.0,True,331000.0,Bastille - Popincourt,small
Paris 20e,49.0,2.0,1.0,9.0,1.0,True,460000.0,Gambetta,small
Paris 14e,89.0,4.0,3.0,8.0,4.0,True,869000.0,Jean Moulin - Porte d'Orléans,medium
Paris 16e,234.0,8.0,6.0,6.0,1.0,True,2450000.0,Dauphine,large
Paris 20e,89.0,4.0,2.0,9.0,2.0,True,688275.0,Télégraphe - Pelleport - Saint-Fargeau,medium
Paris 14e,70.0,3.0,2.0,13.0,11.0,True,579000.0,Didot - Porte de Vanves,medium
